transect_id,fid,veg_type,site_name,size_categ,X,Y,perimeter_m,area_ha,fvc_perc,imp_surf,distance_m,ref_temp_max,temp_oC,cooling_inten_oC
2,154,Forest,GobatMickChurch_Cultivated,Large-sized,336149.5753,1292947.266,933.5,6.2,0,0,365,32.6,30.6,2
2,155,Forest,GobatMickChurch_Cultivated,Large-sized,336146.975,1292942.995,933.5,6.2,0,0,370,32.6,30.6,2
2,156,Forest,GobatMickChurch_Cultivated,Large-sized,336144.3747,1292938.724,933.5,6.2,0,0,375,32.6,30.6,2
2,157,Forest,GobatMickChurch_Cultivated,Large-sized,336141.7743,1292934.454,933.5,6.2,0,0,380,32.6,30.6,2
2,158,Forest,GobatMickChurch_Cultivated,Large-sized,336139.174,1292930.183,933.5,6.2,0,0,385,32.6,30.7,1.9
2,159,Forest,GobatMickChurch_Cultivated,Large-sized,336136.5737,1292925.913,933.5,6.2,0,0,390,32.6,30.8,1.8
2,160,Forest,GobatMickChurch_Cultivated,Large-sized,336133.9733,1292921.642,933.5,6.2,0,0,395,32.6,30.9,1.7
2,161,Forest,GobatMickChurch_Cultivated,Large-sized,336131.373,1292917.371,933.5,6.2,0,0,400,32.6,30.9,1.7
2,162,Forest,GobatMickChurch_Cultivated,Large-sized,336128.7727,1292913.101,933.5,6.2,0,0,405,32.6,30.9,1.7
2,163,Forest,GobatMickChurch_Cultivated,Large-sized,336126.1723,1292908.83,933.5,6.2,0,0,410,32.6,30.9,1.7
2,164,Forest,GobatMickChurch_Cultivated,Large-sized,336123.572,1292904.559,933.5,6.2,0,0,415,32.6,31,1.6
2,165,Forest,GobatMickChurch_Cultivated,Large-sized,336120.9717,1292900.289,933.5,6.2,0,0,420,32.6,31,1.6
2,166,Forest,GobatMickChurch_Cultivated,Large-sized,336118.3714,1292896.018,933.5,6.2,0,0,425,32.6,31,1.6
2,167,Forest,GobatMickChurch_Cultivated,Large-sized,336115.771,1292891.748,933.5,6.2,0,0,430,32.6,31,1.6
2,168,Forest,GobatMickChurch_Cultivated,Large-sized,336113.1707,1292887.477,933.5,6.2,0,0,435,32.6,31.1,1.5
2,169,Forest,GobatMickChurch_Cultivated,Large-sized,336110.5704,1292883.206,933.5,6.2,0,0,440,32.6,31.1,1.5
3,170,Forest,ZenzilimaChurch_Urban,Medium-sized,332099.2939,1285845.34,916.3,3.5,0.825,0,0,33,27.5,5.5
3,171,Forest,ZenzilimaChurch_Urban,Medium-sized,332102.6221,1285849.071,916.3,3.5,0.806,0,5,33,27.5,5.5
3,172,Forest,ZenzilimaChurch_Urban,Medium-sized,332105.9503,1285852.803,916.3,3.5,0.742,0,10,33,27.6,5.4
3,173,Forest,ZenzilimaChurch_Urban,Medium-sized,332109.2785,1285856.534,916.3,3.5,0.735,0,15,33,27.6,5.4
3,174,Forest,ZenzilimaChurch_Urban,Medium-sized,332112.6068,1285860.266,916.3,3.5,0.661,0,20,33,27.6,5.4
3,175,Forest,ZenzilimaChurch_Urban,Medium-sized,332115.935,1285863.997,916.3,3.5,0.621,0,25,33,27.6,5.4
3,176,Forest,ZenzilimaChurch_Urban,Medium-sized,332119.2632,1285867.728,916.3,3.5,0.559,0,30,33,27.7,5.3
3,177,Forest,ZenzilimaChurch_Urban,Medium-sized,332122.5914,1285871.46,916.3,3.5,0.511,0,35,33,27.7,5.3
3,178,Forest,ZenzilimaChurch_Urban,Medium-sized,332125.9197,1285875.191,916.3,3.5,0.573,0,40,33,27.7,5.3
3,179,Forest,ZenzilimaChurch_Urban,Medium-sized,332129.2479,1285878.922,916.3,3.5,0.513,0,45,33,27.7,5.3
3,180,Forest,ZenzilimaChurch_Urban,Medium-sized,332132.5761,1285882.654,916.3,3.5,0.513,0,50,33,27.8,5.2
3,181,Forest,ZenzilimaChurch_Urban,Medium-sized,332135.9043,1285886.385,916.3,3.5,0.503,0,55,33,27.8,5.2
3,182,Forest,ZenzilimaChurch_Urban,Medium-sized,332139.2325,1285890.116,916.3,3.5,0.493,0,60,33,27.8,5.2
3,183,Forest,ZenzilimaChurch_Urban,Medium-sized,332142.5608,1285893.848,916.3,3.5,0.483,0,65,33,27.8,5.2
3,184,Forest,ZenzilimaChurch_Urban,Medium-sized,332145.889,1285897.579,916.3,3.5,0.473,0,70,33,27.8,5.2
3,185,Forest,ZenzilimaChurch_Urban,Medium-sized,332149.2172,1285901.31,916.3,3.5,0.322,0,75,33,27.8,5.2
3,186,Forest,ZenzilimaChurch_Urban,Medium-sized,332152.5454,1285905.042,916.3,3.5,0.349,0,80,33,27.8,5.2
3,187,Forest,ZenzilimaChurch_Urban,Medium-sized,332155.9981,1285908.651,916.3,3.5,0.312,0,85,33,27.8,5.2
3,188,Forest,ZenzilimaChurch_Urban,Medium-sized,332159.6708,1285912.044,916.3,3.5,0.326,0,90,33,27.8,5.2
3,189,Forest,ZenzilimaChurch_Urban,Medium-sized,332163.3435,1285915.436,916.3,3.5,0.443,0,95,33,27.9,5.1
3,190,Forest,ZenzilimaChurch_Urban,Medium-sized,332167.0162,1285918.829,916.3,3.5,0.529,0,100,33,27.9,5.1
3,191,Forest,ZenzilimaChurch_Urban,Medium-sized,332170.6889,1285922.222,916.3,3.5,0.537,0,105,33,27.9,5.1
3,192,Forest,ZenzilimaChurch_Urban,Medium-sized,332174.3616,1285925.615,916.3,3.5,0.393,0,110,33,27.9,5.1
3,193,Forest,ZenzilimaChurch_Urban,Medium-sized,332178.0343,1285929.008,916.3,3.5,0.248,0,115,33,28,5
3,194,Forest,ZenzilimaChurch_Urban,Medium-sized,332181.707,1285932.401,916.3,3.5,0.355,0,120,33,28.1,4.9
3,195,Forest,ZenzilimaChurch_Urban,Medium-sized,332185.3797,1285935.793,916.3,3.5,0.291,0,125,33,28.1,4.9
3,196,Forest,ZenzilimaChurch_Urban,Medium-sized,332189.0524,1285939.186,916.3,3.5,0.33,0,130,33,28.2,4.8
3,197,Forest,ZenzilimaChurch_Urban,Medium-sized,332192.7251,1285942.579,916.3,3.5,0.291,0.476,135,33,28.2,4.8
3,198,Forest,ZenzilimaChurch_Urban,Medium-sized,332196.3978,1285945.972,916.3,3.5,0.294,0.465,140,33,28.3,4.7
3,199,Forest,ZenzilimaChurch_Urban,Medium-sized,332200.0705,1285949.365,916.3,3.5,0.208,0.387,145,33,28.3,4.7
3,200,Forest,ZenzilimaChurch_Urban,Medium-sized,332203.7432,1285952.757,916.3,3.5,0.261,0.304,150,33,28.4,4.6
3,201,Forest,ZenzilimaChurch_Urban,Medium-sized,332207.4159,1285956.15,916.3,3.5,0.216,0.397,155,33,28.6,4.4
3,202,Forest,ZenzilimaChurch_Urban,Medium-sized,332211.0886,1285959.543,916.3,3.5,0.23,0.472,160,33,28.8,4.2
3,203,Forest,ZenzilimaChurch_Urban,Medium-sized,332214.7613,1285962.936,916.3,3.5,0.209,0.453,165,33,28.9,4.1
3,204,Forest,ZenzilimaChurch_Urban,Medium-sized,332218.434,1285966.329,916.3,3.5,0,0.351,170,33,28.9,4.1
3,205,Forest,ZenzilimaChurch_Urban,Medium-sized,332222.1067,1285969.722,916.3,3.5,0,0.387,175,33,29,4
